Player,Team,Batting Style,Bowling Style,Playing Role,Image,Description
Ahsan Ali,Pakistan,Right hand Bat,Legbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/302800/302864.jpg","With Yuvraj Singh as cricketing hero, Ahsan Ali set high expectations as he was picked for the Under-19 World Cup in New Zealand. An opening batsman, his favourite shot is the firm push down the ground.
Cricinfo Staff, January 2010"
Yuzvendra Chahal,India,Right hand Bat,Legbreak Googly,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319900/319955.png","Yuzvendra Chahal is an attacking legspinner who first attracted attention when he took 34 wickets in the National Under-19 Cooch Behar Trophy in 2009, ending the tournament as its leading wicket-taker. A former chess player who represented India at junior levels, Chahal made his first-class debut for Haryana the same year and was signed by Mumbai Indians in 2011 to be part of their IPL squad. "
Tom Bruce,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/324200/324216.png","A big-hitting batsman with a fine eye and a clean swing, Tom Bruce made a splash in the 2015-16 Super Smash, when he hit 223 runs at strike rate of 140.25 for Central Districts. That had been his first senior T20 tournament, but only Mahela Jayawardene made more runs for the team."
Dale Steyn,South Africa,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316566.png","Scary eyes, throbbing veins and a chainsaw celebration have all made Dale Steyn South Africa's most feared fast bowler. Extreme pace, the ability to swing the ball both ways, and accuracy have perhaps made him the country's best ever. At the peak of his powers, Steyn possessed a lithe and wiry body, a steaming run-up that culminated in a aerodynamic action, and a ripper of an outswinger."
Joe Denly,England,Right hand Bat,Legbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322900/322906.png","As Joe Denly himself remarked upon winning a recall for England's Test tour of Sri Lanka in 2018, ""I went missing for a few years."" Beyond his 30th birthday, his county career seemed to be slowly and respectably fading away. But that England call, legitimised by his peers as he won the PCA Players' Player of the Year award as well as topping the Most Valuable Player rankings, marked a wonderful renaissance. "
Waqas Barkat,Hong Kong,Right hand Bat,Legbreak,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321900/321902.png","Barkat featured in all of Hong Kong's eight matches during 2010 Under-19 World Cup Qualifiers, and made the cut for the main tournament in New Zealand. He has also gained considerable experience, having been involved with the senior squad."
Faf du Plessis,South Africa,Right hand Bat,Legbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316559.png","Classy, composed and a fine crafter of innings', Faf du Plessis emerged as one of South Africa's most consistent batsmen in the post-Jacques Kallis era. Du Plessis is strong on the front foot, has impeccable defences and enjoys spending time at the crease. A natural leader, du Plessis was put in charge of the T20 side in February 2013 and formed part of the senior core in other formats. "
Paras Khadka,Nepal,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321700/321749.png","A titan of not just Nepal but the entire Associate world, few people have had a greater impact on their country's fortunes on the cricket field than Paras Khadka. Literally and figuratively, he was a giant for his nation: the tallest with the broadest shoulders, more often than not the top-scorer and at times the leading wicket-taker too whether with his medium pace or his offspin. In terms of his domestic popularity, he was often described as Nepal's version of Sachin Tendulkar but his skillset was much more in line with Garry Sobers."
Jamie Atkinson,Hong Kong,Right hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321900/321909.png","James Atkinson is a talented wicketkeeper-batsman, whose father played minor counties cricket for Durham. A regular in the senior side, he made his ODI debut at the age of just 17, against Pakistan in the 2008 Asia Cup. With the debut making it to the record books, he also became the first person born in the 1990s to play a one-dayer."
Samiullah Shinwari,Afghanistan,Right hand Bat,Legbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316649.png","Samiullah Shenwari plays the game with the energy typical of a 21st century cricketer. With a bouncing, high-kneed approach to the crease and a bagful of variations, his initial value to Afghanistan was as an enterprising legspinner but his batting has become increasingly useful. He pays precious little regard to the textbook, but Shenwari's good eye means that when he hacks violently at the ball, more often than not he connects and he's crept up from Afghanistan's lower order into their middle. He's also a capable fielder, and is often stationed at point. Shenwari helped to engineer Afghanistan's historic win over Bangladesh at the Asia Cup in March 2014, sharing in a 164-run stand with Asghar Stanikzai and then picking up the vital wicket of Mominul Haque. He has been part of all of Afghanistan's World T20 campaigns, and was shortlisted for the prize of ICC Associate and Affiliate player of the year in 2014. He was an automatic pick for the team that travelled to the 2015 World Cup.Liam Brickhill"
Izatullah Dawlatzai,Germany,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321299.png","A skiddy right-arm fast bowler, Izatullah Dalwatzai was still a teenager when he played his first ODI, against Kenya in Nairobi in 2010. He'd come into contention for national honours when he was Afghanistan's second-highest wicket-taker with 11 wickets in the Under-19 World Cup Qualifiers in 2009. He remained in the frame after his debut and played a useful role in Afghanistan's qualification for the 2012 World T20. His progress has been most marked in first-class cricket, with his 6 for 57 against Scotland in the Intercontinental Cup a particular highlight. His career suffered a setback in 2014, when he missed much of the year due to injury, but he returned to the squad ahead of the 2015 World Cup as a non-travelling reserve.Liam Brickhill"
Tinotenda Mutombodzi,Zimbabwe,Right hand Bat,Legbreak Googly,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/112700/112767.1.jpg","Vastly experienced at first-class level, Tinotenda Mutombodzi has already taken a seven-wicket haul in an innings. A right-hand batsman and legspinner, he was part of the Zimbabwe squad to the 2008 Under-19 World Cup in Malaysia and will tour New Zealand with the side in 2010. ""Tyno"", as he is nicknamed, took up cricket at the age of nine and has represented Zimbabwe U-13s, U-14s and U-16 as well. His more recent achievements include scoring 43 at No. 8 against Pakistan U-19s in an unofficial ODI in October 2009 and picking up 4 for 27 against the same team in the same series. His cricket hero is Shane Warne, and he dreams of being a pilot if he is unable to become a professional cricketer. 
Cricinfo Staff January 2010
"
Christopher Mpofu,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320300/320308.png","Among the clutch of players given their chance at international level because of the exodus of the rebels, Christopher Mpofu looks like he may have the abilities to forge a decent career. A tall seam bowler, he hits the pitch hard and can get good away movement - but as with many young quick bowlers consistency is his major problem. Technically, he has a good action but a better brace of his front leg through his delivery stride would allow him to make the most of his height, rather than collapsing as he tends to do at the moment. He made his ODI debut against England in October 2004 and caused the England top-order a few anxious moments. His early Test appearances did not set the world alight, and he lost his place after taking 3 for 343 in four matches - but he has the basics and anyone with a semblance of talent should be encouraged and nurtured. Mpofu has benefited noticeably from Heath Streak's appointment as Zimbabwe's bowling coach as his action has smoothed out, his outswing is becoming more consistent (although he still has a frustrating propensity to go too wide of off stump) and his pace has increased. One definite shortcoming, however, is his crease occupation. Not content with being stumped twice in an afternoon (for a pair) in the first Test against New Zealand in August 2005, he followed up by being run out for 3 in the second match, as he strolled down the pitch to congratulate his team-mate on reaching his half-century.  He still tends to blow hot and cold and has few rivals in the race to be considered international cricket's worst batsman, but when Zimbabwe return to Test cricket Mpofu will have an important role to play. 
Andrew McGlashan"
Chamu Chibhabha,Zimbabwe,Right hand Bat,Right arm Medium,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316575.png","Chamu Chibhabha is an allrounder whose batting is his stronger suit. Chibhabha has found more success in cricket's shorter formats, where he bats up the order and is also capable of bowling seamers at surprising pace off an apparently leisurely run-up. Coming from the townships, he was well coached under the ZC development programme and has a sound technique against pace, with the discipline to play straight and the courage to take on the short ball, but is not as comfortable against spin. He is a superb fielder, usually in the covers."
